prov_code,prov_name,code,name,Y_2009,L_2009,Ry_2009,H_2009,Rh_2009,Pry1
11,北京,1100,北京市,12153,18598,1214.74,1880.5,686.16,0.44
12,天津,1200,天津市,7521.85,9339,4256.06,1461.4657,1675.13,0.44
13,河北,1301,  石家庄市,3001.28,29282,780.51,325.0267,385.07,0.44
13,河北,1302,  唐山市,3812.72,20617,2225.08,397.8399,303.56,0.44
13,河北,1303,  秦皇岛市,804.54,8221,443.03,191.9731,249.46,0.44
13,河北,1304,  邯郸市,2015.28,2023,557.81,180.1704,302.76,0.44
13,河北,1305,  邢台市,1056.29,51,617.07,125.6425,221.02,0.44
13,河北,1306,  保定市,1730,158,957.24,213.5035,307.17,0.44
13,河北,1307,  张家口市,800.34,38,947.5,306.9903,323.91,0.44
13,河北,1308,  承德市,760.11,37,428.35,123.4383,376.95,0.44
13,河北,1309,  沧州市,1801.23,49,2351.7,234.9903,296.98,0.44
13,河北,1310,  廊坊市,1147.48,121,905.29,609.9843,698.04,0.44
13,河北,1311,  衡水市,652.11,14,539.25,110.2138,236.45,0.44
14,山西,1401,  太原市,1545.24,7409,302.13,168.8349,247.14,0.44
14,山西,1402,  大同市,596.26,5180,402.51,56.5641,83.28,0.44
14,山西,1403,  阳泉市,348.71,2209,132.57,85.1508,56.29,0.44
14,山西,1404,  长治市,775.29,6337,225.97,108.455,100.62,0.44
14,山西,1405,  晋城市,606.05,4554,214.32,57.8935,59.99,0.44
14,山西,1406,  朔州市,561.31,1002,203.25,57.4009,62.13,0.44
14,山西,1407,  晋中市,636.81,58,336.11,73.2991,85.71,0.44
14,山西,1408,  运城市,723.01,37,450.13,171.6028,218.06,0.44
14,山西,1409,  忻州市,349.31,24,95.99,78.3197,49.58,0.44
14,山西,1410,  临汾市,766.87,74,254.09,63.0424,113.87,0.44
14,山西,1411,  吕梁市,611.56,43,176.44,43.4857,79.6,0.44
15,内蒙古,1501,  呼和浩特市,1643.99,5020,269.88,309.1,197.21,0.44
15,内蒙古,1502,  包头市,2168.8,5079,1063,517.66,287.17,0.44
15,内蒙古,1503,  乌海市,311.21,1035,155.24,80.15,38.53,0.44
15,内蒙古,1504,  赤峰市,912.89,8682,211.87,204.15,10.51,0.44
15,内蒙古,1505,  通辽市,961.39,26,502.92,95.44,174.24,0.44
15,内蒙古,1506,  鄂尔多斯市,2161,136,2056.35,356.26,883.82,0.44
15,内蒙古,1507,  呼伦贝尔市,779.27,48,2158.53,226.03,352.85,0.44
15,内蒙古,1508,  巴彦淖尔市,509.87,31,714.98,173.9,314.8,0.44
15,内蒙古,1509,  乌兰察布市,500.01,15,359.89,129.5,167.08,0.44
21,辽宁,2101,  沈阳市,4268.51,15911,2044.94,1369.31,1102.78,0.44
21,辽宁,2102,  大连市,4349.51,13245,2346.4,1093.41,1053.99,0.44
21,辽宁,2103,  鞍山市,1730.47,6681,838.44,342.52,551.44,0.44
21,辽宁,2104,  抚顺市,698.64,362,280.64,142.44,243.47,0.44
21,辽宁,2105,  本溪市,688.39,16,482.18,149.1,58.18,0.44
21,辽宁,2106,  丹东市,607.52,32,551.38,232.17,123.11,0.44
21,辽宁,2107,  锦州市,727.3,27,513.83,210.37,113.13,0.44
21,辽宁,2108,  营口市,799.48,49,539.31,325.2,823.95,0.44
21,辽宁,2109,  阜新市,287.97,5,311.8,70.76,24.37,0.44
21,辽宁,2110,  辽阳市,608.26,20,127.51,116.9,126.27,0.44
21,辽宁,2111,  盘锦市,676.87,32,542.82,145.8,144.52,0.44
21,辽宁,2112,  铁岭市,605.71,17,590.04,238.2,182.32,0.44
21,辽宁,2113,  朝阳市,518.09,39,346.06,190.03,173.26,0.44
21,辽宁,2114,  葫芦岛市,445.58,18,380.93,237.98,173.01,0.44
22,吉林,2201,  长春市,2848.56,14546,812.36,653.91,1107.47,0.44
22,吉林,2202,  吉林市,1500.48,7778,448.68,399.75,216.54,0.44
