prov_code,prov_name,pref_code,pref_name,Y_2017,L_2017,Ry_2017,H_2017,Rh_2017,Pry1,r_2017,TS_2017,Ry_2009-2017,Rh_2009-2017
11,北京,1100,北京市,28014.94,7396,386.23,612.8,771.13,1.014,1050,1244.38,1053.796665,725.0226757
12,天津,1200,天津市,18549.19,4601,1326.13,773.08,743.45,1.014,750,1997.92,3692.166089,1770.00588
13,河北,1301,石家庄市,6177.0284,4235,721.92,877.65,818.9,1.014,450,1307.36,677.0986674,406.8795641
13,河北,1302,唐山市,6530.1459,3235,3455.28,638.06,465.46,1.014,450,1608.83,1930.274696,320.7530072
13,河北,1303,秦皇岛市,1500.3351,1573,254.67,317.57,223.69,1.014,450,457.89,384.3320683,263.5888957
13,河北,1304,邯郸市,3379.5261,3966,783.82,476.62,523.62,1.014,450,1176.49,483.9046363,319.9076969
13,河北,1305,邢台市,2090.6243,2977,619.05,386.8,502.52,1.014,450,1006.63,535.3131603,233.5381132
13,河北,1306,保定市,3449.7444,3548,635.39,500.08,1088.19,1.014,450,1192.82,830.4133559,324.5674701
13,河北,1307,张家口市,1427.0162,1339,436.45,371.73,563.6,1.014,450,1352.67,821.963828,342.2555889
13,河北,1308,承德市,1465.4537,1683,354.23,272.04,324.47,1.014,450,756.7,371.5970509,398.2996642
13,河北,1309,沧州市,3643.4034,3044,1653,535.68,453.29,1.014,450,1227.62,2040.118559,313.8003297
13,河北,1310,廊坊市,2881.0071,2212,444.7,759.02,467.76,1.014,450,744.65,785.3463154,737.5755342
13,河北,1311,衡水市,1523.1872,2457,733.51,441.74,302.6,1.014,450,934.94,467.8036879,249.8420364
14,山西,1401,太原市,3382.1819,1782,399.87,729.87,249.01,1.014,450,459.89,262.1001914,261.1374957
14,山西,1402,大同市,1121.3101,1038,324.58,189.82,275.43,1.014,450,495.61,349.1806442,87.99680604
14,山西,1403,阳泉市,672.02224,459,101.19,78.08,26.79,1.014,450,136.09,115.0055353,59.47814856
14,山西,1404,长治市,1477.5312,1362,347.28,249.74,117.87,1.014,450,622.7,196.0307823,106.3189076
14,山西,1405,晋城市,1151.53574,752,114.56,134.84,66.05,1.014,450,142.4,185.9243141,63.38770887
14,山西,1406,朔州市,980.223,580,177.08,119.11,60.9,1.014,450,704.1,176.3210006,65.64891402
14,山西,1407,晋中市,1284.9233,1074,499.31,149.35,195.93,1.014,450,532.92,291.5781132,90.56443619
14,山西,1408,运城市,1336.2914,2080,217.11,325.67,162.86,1.014,450,335.13,390.4913751,230.410465
14,山西,1409,忻州市,874.4923,1370,127.85,83.29,106.96,1.014,450,632.73,83.27209272,52.38810811
14,山西,1410,临汾市,1320.33,1758,314.43,127.68,94.56,1.014,450,607.79,220.4251072,120.31936
14,山西,1411,吕梁市,1310.3217,1246,208.51,58.84,82.36,1.014,450,199.06,153.0631111,84.10837849
15,内蒙古,1501,呼和浩特市,3258.892836,823,376.64,249.97,181.86,1.014,450,684.18,234.1230585,208.3795644
15,内蒙古,1502,包头市,4019.033624,569,549.63,386.4,179.34,1.014,450,611.28,922.1610018,303.4347117
15,内蒙古,1503,乌海市,584.8943836,194,131.45,46.45,118.25,1.014,450,168.88,134.6719416,40.71225909
15,内蒙古,1504,赤峰市,2008.06902,1822,841.63,218.9,211.78,1.014,450,1199.16,183.7989195,11.10526455
15,内蒙古,1505,通辽市,2024.263639,944,245.1,198.62,106.89,1.014,450,389.36,436.2871223,184.1085913
15,内蒙古,1506,鄂尔多斯市,4618.443283,444,968.23,116.17,150.46,1.014,450,1398.48,1783.900071,933.8777271
15,内蒙古,1507,呼伦贝尔市,1643.049953,627,1196.41,229.32,175.74,1.014,450,1146.97,1872.542039,372.8346903
15,内蒙古,1508,巴彦淖尔市,944.2102976,528,265.52,105.01,59.44,1.014,450,681.01,620.2508683,332.6296175
15,内蒙古,1509,乌兰察布市,964.654395,615,526,27.89,161.22,1.014,450,1470.34,312.2074534,176.5430638
21,辽宁,2101,沈阳市,5784.7,2434,352.15,1191.25,243.87,1.014,450,491.11,1774.001805,1165.239166
21,辽宁,2102,大连市,6989.9,1461,808.73,758.17,143.02,1.014,450,983.69,2035.520766,1113.685802
21,辽宁,2103,鞍山市,1613.1,1268,201.49,316.35,153.17,1.014,450,1189.52,727.3534057,582.672415
21,辽宁,2104,抚顺市,949.9,1015,42.12,116.19,18.48,1.014,450,33.67,243.4574445,257.2596346
21,辽宁,2105,本溪市,777.1,815,192.22,68.56,27.19,1.014,450,307.28,418.2950064,61.47519423
21,辽宁,2106,丹东市,787,1007,95.44,213.96,46.68,1.014,450,96.8,478.3265599,130.0826944
21,辽宁,2107,锦州市,1077.5,1438,189.22,140.07,72.35,1.014,450,188.63,445.7516346,119.537448
21,辽宁,2108,营口市,1270.5,1173,431.28,198.7,61.5,1.014,450,344.84,467.8557383,870.6168148
21,辽宁,2109,阜新市,409.1,1101,36.47,70.03,40.62,1.014,450,87.06,270.4889937,25.75026613
21,辽宁,2110,辽阳市,762.9,1001,286.85,90.08,39.01,1.014,450,308.7,110.6159448,133.4216703
21,辽宁,2111,盘锦市,1087.2,719,371.29,258.84,649.22,1.014,450,147.84,470.9006914,152.7053123
